p_id2,start_year,season_days_injured,total_days_injured,season_minutes_played,season_games_played,season_matches_in_squad,total_minutes_played,total_games_played,dob,height_cm,weight_kg,nationality_name,work_rate,pace,physic,fifa_rating,position,age,cumulative_minutes_played,cumulative_games_played,minutes_per_game_prev_seasons,avg_days_injured_prev_seasons,avg_games_per_season_prev_seasons,bmi,work_rate_numeric,position_numeric,significant_injury_prev_season,cumulative_days_injured,season_days_injured_prev_season
aaronconnolly,2019,13,164,1312.0,24,28,2148.0,41,2000-01-28,175.25,75.0,Republic of Ireland,Medium/Low,73.0,59.5,64.75,Forward,19,,,,,,24.41997472532616,2.5,2.0,,,
aaronconnolly,2020,71,164,836.0,17,28,2148.0,41,2000-01-28,175.25,75.0,Republic of Ireland,Medium/Low,73.0,59.5,64.75,Forward,20,1312.0,24.0,54.666666666666664,13.0,24.0,24.41997472532616,2.5,2.0,0.0,164.0,13.0
aaroncresswell,2016,95,226,2247.0,26,27,20473.0,224,1989-12-15,171.875,66.0,England,High/Medium,74.625,66.5,75.125,Defender,27,,,,,,22.341818181818184,3.5,1.0,,,
aaroncresswell,2018,87,226,1680.0,20,27,20473.0,224,1989-12-15,171.875,66.0,England,High/Medium,74.625,66.5,75.125,Defender,29,2247.0,26.0,86.42307692307692,95.0,26.0,22.341818181818184,3.5,1.0,1.0,226.0,95.0
aaroncresswell,2019,35,226,2870.0,31,31,20473.0,224,1989-12-15,171.875,66.0,England,High/Medium,74.625,66.5,75.125,Defender,30,3927.0,46.0,85.3695652173913,91.0,23.0,22.341818181818184,3.5,1.0,1.0,452.0,87.0
aaroncresswell,2020,9,226,3342.0,36,36,20473.0,224,1989-12-15,171.875,66.0,England,High/Medium,74.625,66.5,75.125,Defender,31,6797.0,77.0,88.27272727272727,72.33333333333333,25.666666666666668,22.341818181818184,3.5,1.0,1.0,678.0,35.0
aaronlennon,2008,9,337,2660.0,35,35,27726.0,388,1987-04-16,165.0,63.0,England,High/High,82.71428571428571,58.857142857142854,75.85714285714286,Midfielder,21,,,,,,23.140495867768596,4.0,3.0,,,
aaronlennon,2009,59,337,1890.0,22,22,27726.0,388,1987-04-16,165.0,63.0,England,High/High,82.71428571428571,58.857142857142854,75.85714285714286,Midfielder,22,2660.0,35.0,76.0,9.0,35.0,23.140495867768596,4.0,3.0,0.0,337.0,9.0
aaronlennon,2012,17,337,2946.0,34,34,27726.0,388,1987-04-16,165.0,63.0,England,High/High,82.71428571428571,58.857142857142854,75.85714285714286,Midfielder,25,4550.0,57.0,79.82456140350877,34.0,28.5,23.140495867768596,4.0,3.0,1.0,674.0,59.0
aaronlennon,2013,53,337,2267.0,27,29,27726.0,388,1987-04-16,165.0,63.0,England,High/High,82.71428571428571,58.857142857142854,75.85714285714286,Midfielder,26,7496.0,91.0,82.37362637362638,28.333333333333332,30.333333333333332,23.140495867768596,4.0,3.0,0.0,1011.0,17.0
aaronlennon,2017,33,337,1996.0,29,29,27726.0,388,1987-04-16,165.0,63.0,England,High/High,82.71428571428571,58.857142857142854,75.85714285714286,Midfielder,30,9763.0,118.0,82.73728813559322,34.5,29.5,23.140495867768596,4.0,3.0,1.0,1348.0,53.0
aaronlennon,2018,166,337,1279.0,16,16,27726.0,388,1987-04-16,165.0,63.0,England,High/High,82.71428571428571,58.857142857142854,75.85714285714286,Midfielder,31,11759.0,147.0,79.99319727891157,34.2,29.4,23.140495867768596,4.0,3.0,1.0,1685.0,33.0
